# v_mps,ax_max_mps2,ay_max_mps2
0.0,8.167950935569465,7.2265461096187105
0.25,8.103251681622476,7.2265461096187105
0.5,8.038552427675485,7.2265461096187105
0.75,7.973853173728497,7.2265461096187105
1.0,7.909153919781508,7.2265461096187105
1.25,7.844454665834519,7.2265461096187105
1.5,7.779755411887528,7.2265461096187105
1.75,7.7150561579405394,7.2265461096187105
2.0,7.650356903993551,7.2265461096187105
2.25,7.585657650046561,7.2265461096187105
2.5,7.520958396099571,7.2265461096187105
2.75,7.2265461096187105,7.2265461096187105
3.0,7.118287594955454,7.118287594955454
3.25,7.074091166374945,7.074091166374945
3.5,7.110039300620273,7.110039300620273
3.75,7.068122410042042,7.068122410042042
4.0,7.150971972426293,7.150971972426293
4.25,7.12642338389659,7.12642338389659
4.5,6.945555939056443,6.945555939056443
4.75,7.000599827983204,7.000599827983204
5.0,6.946546466079667,6.946546466079667
5.25,6.933157423004636,6.933157423004636
5.5,6.83198158895267,6.83198158895267
5.75,6.985540842695543,6.985540842695543
6.0,6.85478834182123,6.85478834182123
6.25,6.742659994989396,6.742659994989396
6.5,6.819769310028112,6.819769310028112
6.75,6.843869712671681,6.843869712671681
7.0,6.904508465699894,6.904508465699894
7.25,6.904508465699894,6.904508465699894
7.5,6.904508465699894,6.904508465699894
7.75,6.904508465699894,6.904508465699894
8.0,6.904508465699894,6.904508465699894
8.25,6.904508465699894,6.904508465699894
8.5,6.904508465699894,6.904508465699894
8.75,6.904508465699894,6.904508465699894
9.0,6.904508465699894,6.904508465699894
9.25,6.904508465699894,6.904508465699894
9.5,6.904508465699894,6.904508465699894
9.75,6.904508465699894,6.904508465699894
10.0,6.904508465699894,6.904508465699894
10.25,6.904508465699894,6.904508465699894
10.5,6.904508465699894,6.904508465699894
10.75,6.904508465699894,6.904508465699894
11.0,6.904508465699894,6.904508465699894
11.25,6.904508465699894,6.904508465699894
11.5,6.904508465699894,6.904508465699894
11.75,6.904508465699894,6.904508465699894
12.0,6.904508465699894,6.904508465699894
12.25,6.904508465699894,6.904508465699894
12.5,6.904508465699894,6.904508465699894
12.75,6.904508465699894,6.904508465699894
13.0,6.904508465699894,6.904508465699894
13.25,6.904508465699894,6.904508465699894
13.5,6.904508465699894,6.904508465699894
13.75,6.904508465699894,6.904508465699894
14.0,6.904508465699894,6.904508465699894
14.25,6.904508465699894,6.904508465699894
14.5,6.904508465699894,6.904508465699894
14.75,6.904508465699894,6.904508465699894
15.0,6.904508465699894,6.904508465699894
