# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0,0.0,1.1,1.1
-0.0578111825819451,0.0413086621654912,1.1,1.1
-0.180154932581944,0.169725844807445,1.1,1.1
-0.2249999999999996,0.2361695312955518,1.1,1.1
-0.2545744117695339,0.2887104055736458,1.1,1.1
-0.2929023869680396,0.4418628161960924,1.1,1.1
-0.3175944338658425,0.9451520299770592,1.1,1.1
-0.3186401961252514,1.7158143323216706,1.1,1.1
-0.3175381551583278,2.480971756701308,1.1,1.1
-0.2934512286047113,2.9814921919958444,1.1,1.1
-0.2565417004646964,3.1282429184553244,1.1,1.1
-0.2282121683260154,3.174006700343704,1.1,1.1
-0.1656367822945217,3.2589843170268544,1.1,1.1
-0.0501920870295968,3.349831902114243,1.1,1.1
0.0480250381338542,3.3940144660306366,1.1,1.1
0.24032642860492,3.4391042812848163,1.1,1.1
0.6274412096762845,3.4642812066407416,1.1,1.1
0.89906360894512,3.465814332321667,1.1,1.1
1.2485076125853958,3.463880843832321,1.1,1.1
1.6043751006127147,3.430162395219334,1.1,1.1
1.7700998634788547,3.380780095378647,1.1,1.1
1.8854974692651811,3.3007232940637152,1.1,1.1
1.960812088018863,3.182885123844194,1.1,1.1
2.006287889787062,3.0201587172897426,1.1,1.1
2.032169044616947,2.8054372069700197,1.1,1.1
2.040786749575279,2.673746749954912,1.1,1.1
2.052471099116632,2.503870048048462,1.1,1.1
2.0897750504796093,2.241252931301176,1.1,1.1
2.153363200881448,2.041102239566989,1.1,1.1
2.253859879547188,1.8699767289951763,1.1,1.1
2.32347089578274,1.7839673327495902,1.1,1.1
2.379022360840615,1.722936377028553,1.1,1.1
2.5146973721903896,1.6166183653705914,1.1,1.1
2.673200259806177,1.53066774514663,1.1,1.1
2.847132555671517,1.4667230849045083,1.1,1.1
3.029095791769943,1.426422953192052,1.1,1.1
3.211691500084996,1.4114059185571222,1.1,1.1
3.387521212600213,1.423310549547537,1.1,1.1
3.549186461299132,1.4637754147111437,1.1,1.1
3.62134280021896,1.4965224080705468,1.1,1.1
3.701960742332633,1.5386767584484602,1.1,1.1
3.841442790964953,1.6283588976054515,1.1,1.1
3.956814808603542,1.7280442954850486,1.1,1.1
4.050292986048728,1.8416830994663516,1.1,1.1
4.124093514100852,1.973225456928468,1.1,1.1
4.18043258356024,2.1266215152504917,1.1,1.1
4.238538992962663,2.4023661055742096,1.1,1.1
4.259025761709706,2.6331310785216857,1.1,1.1
4.27055253267406,2.778201049378957,1.1,1.1
4.30599089023666,3.019096973365229,1.1,1.1
4.363456845081253,3.206596778546853,1.1,1.1
4.45091241778707,3.347030134334137,1.1,1.1
4.576319628933351,3.446726710137394,1.1,1.1
4.747640499099327,3.512016175366938,1.1,1.1
4.972837048864236,3.5492281994330703,1.1,1.1
5.259871298807317,3.564692451746108,1.1,1.1
5.432139889903641,3.5657366323677024,1.1,1.1
5.67466714018555,3.563759183249676,1.1,1.1
6.025440363403181,3.5321484571114503,1.1,1.1
6.2036918727905945,3.4767561026360347,1.1,1.1
6.296327495620835,3.4230411459907195,1.1,1.1
6.407026959313418,3.313514906337666,1.1,1.1
6.467521539883592,3.2119510674581697,1.1,1.1
6.497373893543575,3.154167175610357,1.1,1.1
6.534920005980213,2.9982336397272675,1.1,1.1
6.554211676435516,2.5022461284561857,1.1,1.1
6.546384804747092,1.7408143323216692,1.1,1.1
6.536598353194778,0.9761264424605258,1.1,1.1
6.505023950404626,0.4809849927722638,1.1,1.1
6.462235170596761,0.324900161945429,1.1,1.1
6.429658923956957,0.2658143323216677,1.1,1.1
6.392800504486262,0.2010734153456468,1.1,1.1
6.322010514542118,0.0983862209546302,1.1,1.1
6.215856071983044,0.0238351352816579,1.1,1.1
6.031140875240567,-0.0270436847345862,1.1,1.1
5.724668622746215,-0.0587140821554328,1.1,1.1
5.253243012931517,-0.0756399000421979,1.1,1.1
4.176443157457982,-0.0835953184276689,1.1,1.1
3.056359803874749,-0.0827774990199259,1.1,1.1
1.381196771315449,-0.0809828456967238,1.1,1.1
0.3135693739587992,-0.0586037983245617,1.1,1.1
0.0504814707522118,-0.0253334423523696,1.1,1.1
